"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","tartness","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.5,0.17,0.33,1.4,0.028,9.94215656953073,14,99,0.9928,3.23,0.55,10.1,6.05
8.2,0.23,0.37,1.3,0.042,11.1210131416514,39,117,0.9928,2.99,0.36,10,5.02
7.6,0.22,0.34,9.7,0.035,8.82786330836872,26,143,0.9965,3.08,0.49,9.8,5.99
7.6,0.345,0.26,1.9,0.043,9.93733892342587,15,134,0.9936,3.08,0.38,9.5,5.02
7.5,0.32,0.26,1.8,0.042,10.8189853336734,13,133,0.9938,3.07,0.38,9.5,5.1
6.6,0.23,0.32,0.9,0.041,10.1724665566648,25,79,0.9926,3.39,0.54,10.2,7.04
6.6,0.2,0.32,1.1,0.039,10.2463625798827,25,78,0.9926,3.39,0.54,10.2,6.95
7.3,0.24,0.34,15.4,0.05,9.97643270839301,38,174,0.9983,3.03,0.42,9,5.78
7.3,0.24,0.34,15.4,0.05,9.30540320880383,38,174,0.9983,3.03,0.42,9,5.92
8,0.42,0.36,5,0.037,11.041466053801,34,101,0.992,3.13,0.57,12.3,7
7.3,0.24,0.34,15.4,0.05,10.9013629572437,38,174,0.9983,3.03,0.42,9,5.75
5.9,0.26,0.21,12.5,0.034,10.7807440207252,36,152,0.9972,3.28,0.43,9.5,5.85
8.3,0.23,0.43,3.2,0.035,7.61748258411903,14,101,0.9928,3.15,0.36,11.5,4.88
6.5,0.34,0.28,1.8,0.041,10.1675595763427,43,188,0.9928,3.13,0.37,9.6,6.15
6.8,0.22,0.35,17.5,0.039,10.4043445025153,38,153,0.9994,3.24,0.42,9,5.78
6.5,0.08,0.33,1.9,0.028,10.5043950079115,23,93,0.991,3.34,0.7,12,7.07
5.5,0.42,0.09,1.6,0.019,9.77431327188366,18,68,0.9906,3.33,0.51,11.4,6.97
5.1,0.42,0.01,1.5,0.017,11.42528430483,25,102,0.9894,3.38,0.36,12.3,7.05
6,0.27,0.19,1.7,0.02,9.89044818456113,24,110,0.9898,3.32,0.47,12.6,7.09
6.5,0.08,0.33,1.9,0.028,11.2102319906477,23,93,0.991,3.34,0.7,12,6.93
7.6,0.3,0.25,4.3,0.054,8.67597186140517,22,111,0.9956,3.12,0.49,9.2,4.9
6.6,0.13,0.3,4.9,0.058,11.8965273765891,47,131,0.9946,3.51,0.45,10.3,6.04
7.7,0.28,0.33,6.7,0.037,11.4385854762629,32,155,0.9951,3.39,0.62,10.7,7.2
6,0.2,0.71,1.6,0.15,9.47461543712964,10,54,0.9927,3.12,0.47,9.8,5.01
6,0.19,0.71,1.5,0.152,10.8883308398241,9,55,0.9927,3.12,0.46,9.8,6.05
7.7,0.28,0.33,6.7,0.037,11.393192670643,32,155,0.9951,3.39,0.62,10.7,7.01
5.7,0.36,0.34,4.2,0.026,9.34280957736557,21,77,0.9907,3.41,0.45,11.9,6.07
6.9,0.19,0.33,1.6,0.043,8.08665488568717,63,149,0.9925,3.44,0.52,10.8,5.05
6,0.41,0.21,1.9,0.05,9.39059175436273,29,122,0.9928,3.42,0.52,10.5,6.01
7.4,0.3,0.3,5.2,0.053,11.0167779826413,45,163,0.9941,3.12,0.45,10.3,6
6.9,0.19,0.33,1.6,0.043,11.0590355272743,63,149,0.9925,3.44,0.52,10.8,5.08
7.7,0.28,0.39,8.9,0.036,10.2615262618027,8,117,0.9935,3.06,0.38,12,7.07
8.6,0.16,0.38,3.4,0.04,8.19665547529411,41,143,0.9932,2.95,0.39,10.2,5.95
8.2,0.26,0.44,1.3,0.046,9.92802632441397,7,69,0.9944,3.14,0.62,10.2,3.93
6.5,0.25,0.27,15.2,0.049,9.21345452804541,75,217,0.9972,3.19,0.39,9.9,5.05
7,0.24,0.18,1.3,0.046,8.77195687136483,9,62,0.994,3.38,0.47,10.1,4.1
8.6,0.18,0.36,1.8,0.04,9.64809788409327,24,187,0.9956,3.25,0.55,9.5,6.01
7.8,0.27,0.34,1.6,0.046,8.69106395887385,27,154,0.9927,3.05,0.45,10.5,5.97
6.1,0.24,0.27,9.8,0.062,9.81395965841357,33,152,0.9966,3.31,0.47,9.5,5.96
8,0.24,0.3,17.45,0.056,10.9548474100938,43,184,0.9997,3.05,0.5,9.2,5.85
7.6,0.21,0.6,2.1,0.046,10.2840709674855,47,165,0.9936,3.05,0.54,10.1,6.93
6.4,0.28,0.43,7.1,0.045,10.3139368011208,60,221,0.9952,3.09,0.45,9.4,5.91
6.9,0.24,0.39,1.3,0.063,11.1350427269341,18,136,0.9928,3.31,0.48,10.4,7.02
5.8,0.36,0.26,3.3,0.038,10.1484056785623,40,153,0.9911,3.34,0.55,11.3,6.01
6.6,0.18,0.28,3.3,0.044,10.90022066646,18,91,0.993,3.42,0.64,10.8,5.83
5.1,0.52,0.06,2.7,0.052,10.7619605885136,30,79,0.9932,3.32,0.43,9.3,4.81
6.6,0.22,0.37,1.2,0.059,11.9989707433787,45,199,0.993,3.37,0.55,10.3,6.88
8.3,0.15,0.39,1.3,0.055,10.2528661629861,32,146,0.993,3.08,0.39,10.5,6.1
7.6,0.16,0.44,1.4,0.043,9.96586875906467,25,109,0.9932,3.11,0.75,10.3,5.95
7.7,0.16,0.41,1.7,0.048,9.47049372488661,60,173,0.9932,3.24,0.66,11.2,6.98
8.3,0.16,0.48,1.7,0.057,8.94878070936606,31,98,0.9943,3.15,0.41,10.3,5.84
6.2,0.25,0.47,11.6,0.048,11.5371137867361,62,210,0.9968,3.19,0.5,9.5,4.85
6.1,0.16,0.27,12.6,0.064,9.35517890877649,63,162,0.9994,3.66,0.43,8.9,5.04
7.6,0.39,0.22,2.8,0.036,9.66904698902335,19,113,0.9926,3.03,0.29,10.2,4.98
6.8,0.37,0.47,11.2,0.071,9.34806324039284,44,136,0.9968,2.98,0.88,9.2,4.94
7.6,0.16,0.44,1.4,0.043,9.67375028469921,25,109,0.9932,3.11,0.75,10.3,5.87
7.1,0.18,0.42,1.4,0.045,8.24094924241829,47,157,0.9916,2.95,0.31,10.5,5.89
8.3,0.14,0.26,1.5,0.049,10.5892102826238,56,189,0.9946,3.21,0.62,9.5,6.2
8.6,0.2,0.42,1.5,0.041,9.38999792123483,35,125,0.9925,3.11,0.49,11.4,6.97
8.6,0.2,0.42,1.5,0.041,8.91874566165546,35,125,0.9925,3.11,0.49,11.4,7.08
6.8,0.19,0.32,7.05,0.019,8.42591247116445,54,188,0.9935,3.25,0.37,11.1,8.08
6.8,0.34,0.74,2.8,0.088,9.39137645114551,23,185,0.9928,3.51,0.7,12,6.03
6.6,0.14,0.44,1.6,0.042,9.75691943585159,47,140,0.993,3.32,0.51,10.2,5.9
8,0.55,0.17,8.2,0.04,10.3504379089478,13,60,0.9956,3.09,0.3,9.5,4.08
7,0.24,0.35,1.5,0.052,9.61681024004036,51,128,0.9941,3.41,0.59,10.4,6.87
6.2,0.34,0.29,7.6,0.047,10.7578597109358,45,232,0.9955,3.35,0.62,10,5.96
7.1,0.3,0.36,6.8,0.055,10.9628725191722,44.5,234,0.9972,3.49,0.64,10.2,5.98
7.9,0.64,0.46,10.6,0.244,9.82014773213398,33,227,0.9983,2.87,0.74,9.1,3.09
7.5,0.17,0.37,1.5,0.06,10.4343140253898,18,75,0.9936,3.54,0.88,10.7,4.98
7.1,0.15,0.34,5.3,0.034,10.3724654329996,33,104,0.9953,3.37,0.52,9.3,7.17
7.5,0.17,0.34,1.4,0.035,10.9433662037687,13,102,0.9918,3.05,0.74,11,5
7.7,0.275,0.3,1,0.039,10.358516360465,19,75,0.992,3.01,0.56,10.7,5.03
7.3,0.49,0.32,5.2,0.043,9.73285412855786,18,104,0.9952,3.24,0.45,10.7,3.9
7.5,0.33,0.48,19.45,0.048,11.7468764034819,55,243,1.001,2.95,0.4,8.8,4.91
7.2,0.21,0.37,1.6,0.049,7.80893922327677,23,94,0.9924,3.16,0.48,10.9,7.19
7.3,0.15,0.4,2,0.05,10.9256685016214,24,92,0.9932,3.14,0.45,10.5,5.09
6.5,0.19,0.1,1.3,0.046,8.7262277103742,23,107,0.9937,3.29,0.45,10,5.07
7,0.31,0.52,1.7,0.029,7.50302377831235,5,61,0.9918,3.07,0.43,10.4,5.01
8.3,0.4,0.38,1.1,0.038,10.3300620316068,15,75,0.9934,3.03,0.43,9.2,5.05
6.1,0.37,0.36,4.7,0.035,9.08653395124736,36,116,0.991,3.31,0.62,12.6,6.02
7.3,0.24,0.34,7.5,0.048,8.94519196570928,29,152,0.9962,3.1,0.54,9,5
6.9,0.21,0.81,1.1,0.137,9.77416956647755,52,123,0.9932,3.03,0.39,9.2,6.02
7.6,0.29,0.42,1.3,0.035,9.20981420267025,18,86,0.9908,2.99,0.39,11.3,4.9
9.4,0.29,0.55,2.2,0.05,8.78773573852294,17,119,0.9962,3.12,0.69,10.3,4.24
7,0.31,0.52,1.7,0.029,10.5288923987711,5,61,0.9918,3.07,0.43,10.4,5.08
8.6,0.26,0.41,2.2,0.049,8.90043747206059,29,111,0.9941,2.96,0.44,10,4.97
7.5,0.21,0.34,1.2,0.06,10.1035178993521,26,111,0.9931,3.51,0.47,10.7,6.12
7.5,0.21,0.34,1.2,0.06,9.8282896340257,26,111,0.9931,3.51,0.47,10.7,6.17
8,0.26,0.36,2,0.054,8.19695285555948,30,121,0.992,3.09,0.72,11.6,6.77
7,0.21,0.28,7.5,0.07,9.19004112424612,45,185,0.9966,3.34,0.55,9.4,5.14
6.7,0.26,0.26,4,0.079,8.06025158653549,35.5,216,0.9956,3.31,0.68,9.5,5.11
6.7,0.26,0.26,4.1,0.073,10.1882398408946,36,202,0.9956,3.3,0.67,9.5,4.92
8.1,0.26,0.37,1.9,0.072,8.56325197198946,48,159,0.9949,3.37,0.7,10.9,5.86
6.4,0.3,0.51,5.5,0.048,9.66744960609107,62,172,0.9942,3.08,0.45,9.1,5.97
6.9,0.2,0.36,1.5,0.031,10.7907864615512,38,147,0.9931,3.35,0.56,11,6.02
8,0.37,0.32,1.6,0.04,8.8968670878192,32,166,0.992,3,0.55,11.3,7.09
8.3,0.22,0.38,14.8,0.054,9.07518963169552,32,126,1.0002,3.22,0.5,9.7,4.92
7.7,0.34,0.3,8,0.048,9.34157981842082,25,192,0.9951,2.97,0.47,10.9,5.03
6.2,0.55,0.45,12,0.049,10.7792514718716,27,186,0.9974,3.17,0.5,9.3,6.17
6.4,0.4,0.19,3.2,0.033,9.78230333311717,28,124,0.9904,3.22,0.54,12.7,6.9
7.5,0.28,0.33,7.7,0.048,10.9102904800634,42,180,0.9974,3.37,0.59,10.1,5.84
7.8,0.26,0.44,1.3,0.037,10.0321585941463,43,132,0.9944,3.18,0.65,10,4.82
6.5,0.26,0.34,16.3,0.051,11.8456103540269,56,197,1.0004,3.49,0.42,9.8,5.06
6.3,0.34,0.29,6.2,0.046,11.7276756508892,29,227,0.9952,3.29,0.53,10.1,5.99
6.8,0.15,0.33,4.7,0.059,9.92311608960108,31,118,0.9956,3.43,0.39,9,7.08
6.3,0.27,0.25,5.8,0.038,9.89016647916142,52,155,0.995,3.28,0.38,9.4,5.99
6.3,0.27,0.25,5.8,0.038,10.3287204325755,52,155,0.995,3.28,0.38,9.4,6.04
7.4,0.2,0.37,16.95,0.048,8.47272056650077,43,190,0.9995,3.03,0.42,9.2,6.02
6.3,0.23,0.21,5.1,0.035,10.7391573491221,29,142,0.9942,3.36,0.33,10.1,7
7.3,0.31,0.69,10.2,0.041,10.0579596540514,58,160,0.9977,3.06,0.45,8.6,4.94
5.2,0.24,0.45,3.8,0.027,9.89980751466237,21,128,0.992,3.55,0.49,11.2,8.13
7.4,0.2,0.37,16.95,0.048,8.69654290973356,43,190,0.9995,3.03,0.42,9.2,6.07
8.3,0.21,0.58,17.1,0.049,11.1540353676531,62,213,1.0006,3.01,0.51,9.3,6.18
7.2,0.21,0.35,14.5,0.048,10.5619413342746,35,178,0.9982,3.05,0.47,8.9,6.07
7.1,0.21,0.4,1.2,0.069,9.33333576522536,24,156,0.9928,3.42,0.43,10.6,5.97
8.4,0.17,0.31,6.7,0.038,11.2540933332764,29,132,0.9945,3.1,0.32,10.6,7
7.4,0.24,0.31,8.4,0.045,9.08057536644853,52,183,0.9963,3.09,0.32,8.8,4.99
5.3,0.24,0.33,1.3,0.033,12.6494110986219,25,97,0.9906,3.59,0.38,11,7.79
6.5,0.28,0.26,8.8,0.04,8.81265874565789,44,139,0.9956,3.32,0.37,10.2,6.17
6.3,0.23,0.21,5.1,0.035,11.4206442547538,29,142,0.9942,3.36,0.33,10.1,7.11
5.8,0.29,0.21,2.6,0.025,10.6867588712968,12,120,0.9894,3.39,0.79,14,7.04
6.3,0.27,0.25,5.8,0.038,8.43267456062067,52,155,0.995,3.28,0.38,9.4,6.02
6.3,0.17,0.42,2.8,0.028,8.90911901405877,45,107,0.9908,3.27,0.43,11.8,5.89
6.3,0.16,0.4,1.6,0.033,9.05170976618854,59,148,0.9914,3.44,0.53,11.4,5.15
7.9,0.29,0.39,6.7,0.036,10.5561145856411,6,117,0.9938,3.12,0.42,10.7,4.98
7.3,0.31,0.69,10.2,0.041,9.9846183081633,58,160,0.9977,3.06,0.45,8.6,5.02
5.5,0.32,0.45,4.9,0.028,10.1713549179484,25,191,0.9922,3.51,0.49,11.5,7.04
5.2,0.24,0.45,3.8,0.027,10.8311239389182,21,128,0.992,3.55,0.49,11.2,7.9
7.2,0.37,0.15,2,0.029,10.132448066963,27,87,0.9903,3.3,0.59,12.6,6.89
6.1,0.29,0.27,1.7,0.024,10.9391261446534,13,76,0.9893,3.21,0.51,12.6,7
9.2,0.22,0.4,2.4,0.054,10.4801912238696,18,151,0.9952,3.04,0.46,9.3,4.06
7.2,0.37,0.15,2,0.029,10.5804077703178,27,87,0.9903,3.3,0.59,12.6,7.01
8,0.18,0.37,1.3,0.04,11.4933138767773,15,96,0.9912,3.06,0.61,12.1,6.07
7.4,0.18,0.4,1.6,0.047,9.23729455305334,22,102,0.9937,3.28,0.44,10.7,5.05
6.5,0.52,0.17,1.4,0.047,8.97045239910747,5,26,0.9932,3.26,0.32,10,3.86
7,0.15,0.38,2.2,0.047,8.89608750289166,33,96,0.9928,3.13,0.39,10.4,8.07
8.1,0.45,0.34,8.3,0.037,9.79690248585886,33,216,0.9976,3.31,0.64,9.7,4.95
6.4,0.5,0.16,12.9,0.042,9.84253401106851,26,138,0.9974,3.28,0.33,9,4.84
6.7,0.105,0.32,12.4,0.051,9.01594504797284,34,106,0.998,3.54,0.45,9.2,5.99
6.6,0.25,0.39,1.45,0.04,10.2829078361775,40,89,0.9911,3.35,0.4,11.4,6.93
9.8,0.36,0.45,1.6,0.042,10.0198259374036,11,124,0.9944,2.93,0.46,10.8,4.94
9.6,0.23,0.4,1.5,0.044,10.4710553078155,19,135,0.9937,2.96,0.49,10.9,5.12
6.3,0.55,0.45,13,0.047,9.85670270771098,33,182,0.9974,3.2,0.46,9.2,5.87
6.4,0.125,0.29,5.85,0.042,8.84368142400411,24,99,0.992,3.23,0.32,12,6.75
5.7,0.1,0.27,1.3,0.047,10.0525375482664,21,100,0.9928,3.27,0.46,9.5,4.93
7.9,0.25,0.29,5.3,0.031,9.98002345605762,33,117,0.9918,3.06,0.32,11.8,6.95
6.9,0.23,0.34,4,0.047,9.54380481312476,24,128,0.9944,3.2,0.52,9.7,5.9
7.4,0.41,0.34,4.7,0.042,9.3390518172353,19,127,0.9953,3.25,0.42,10.4,5.02
6.7,0.25,0.34,12.85,0.048,10.3830528655441,30,161,0.9986,3.44,0.47,9.5,6.12
6,0.26,0.42,5.2,0.027,12.900169765552,70,178,0.9914,3.4,0.4,12.3,7.88
9.2,0.28,0.46,3.2,0.058,9.76790320135134,39,133,0.996,3.14,0.58,9.5,5.14
9,0.31,0.49,6.9,0.034,9.54443178001265,26,91,0.9937,2.99,0.34,11.5,4.93
8.5,0.16,0.33,1,0.076,9.29291985188969,17,57,0.9921,3.14,0.46,10.6,6.07
9.2,0.28,0.46,3.2,0.058,8.00431089181665,39,133,0.996,3.14,0.58,9.5,4.87
7.2,0.24,0.3,1.6,0.048,9.80585073402778,27,131,0.9933,3.25,0.45,10.5,5.12
7.2,0.25,0.32,1.5,0.047,10.2405696634551,27,132,0.9933,3.26,0.44,10.5,5.08
6.8,0.32,0.18,7.5,0.041,9.61766509675943,71,223,0.9959,3.14,0.41,8.9,4.95
9.1,0.27,0.32,1.1,0.031,8.15940534189669,15,151,0.9936,3.03,0.41,10.6,4.91
8.9,0.34,0.32,1.3,0.041,10.0600437036194,12,188,0.9953,3.17,0.49,9.5,4.96
7,0.17,0.37,5.7,0.025,9.75675773216973,29,111,0.9938,3.2,0.49,10.8,6.08
6.7,0.25,0.23,7.2,0.038,9.4124872091937,61,220,0.9952,3.14,0.35,9.5,4.94
6.9,0.32,0.17,7.6,0.042,10.9459647190007,69,219,0.9959,3.13,0.4,8.9,4.81
6.8,0.32,0.18,7.5,0.041,10.929933861898,71,223,0.9959,3.14,0.41,8.9,4.99
6.1,0.6,0,1.3,0.042,11.925636671343,24,79,0.9937,3.31,0.38,9.4,4.08
5.3,0.395,0.07,1.3,0.035,11.893666374025,26,102,0.992,3.5,0.35,10.6,5.88
7.9,0.16,0.3,4.8,0.037,10.3210257663363,37,171,0.9967,3.47,0.44,9,3.98
7.6,0.33,0.36,2.1,0.034,11.2706962905201,26,172,0.9944,3.42,0.48,10.5,3.88
7.8,0.3,0.29,16.85,0.054,9.51213597155767,23,135,0.9998,3.16,0.38,9,6.01
7.8,0.3,0.29,16.85,0.054,9.71639743600535,23,135,0.9998,3.16,0.38,9,6.09
6.6,0.25,0.41,7.4,0.043,10.644250800878,29,151,0.9946,3.15,0.6,10.2,7.01
5.7,0.26,0.27,4.1,0.201,9.4506538058263,73.5,189.5,0.9942,3.27,0.38,9.4,5.98
6,0.24,0.32,6.3,0.03,9.75926031769034,34,129,0.9946,3.52,0.41,10.4,4.87
6.1,0.45,0.27,0.8,0.039,9.9446779058304,13,82,0.9927,3.23,0.32,9.5,5.08
7.4,0.23,0.43,1.4,0.044,8.63181353057379,22,113,0.9938,3.22,0.62,10.6,5.96
7.5,0.14,0.34,1.3,0.055,11.0182253124834,50,153,0.9945,3.29,0.8,9.6,5.96
7.7,0.25,0.43,4.5,0.062,8.70295047846686,20,115,0.9966,3.38,0.5,9.9,5.96
8.2,0.61,0.45,5.4,0.03,10.7576221705025,15,118,0.9954,3.14,0.34,9.6,4.95
7.4,0.22,0.33,2,0.045,8.8735654318417,31,101,0.9931,3.42,0.55,11.4,5.15
7.2,0.26,0.26,12.7,0.036,10.196871739707,49,214,0.9986,3.41,0.5,10,6.1
6.4,0.25,0.41,8.6,0.042,10.375406691715,57,173,0.9965,3,0.44,9.1,5.12
6.3,0.32,0.35,11.1,0.039,11.3342312878517,29,198,0.9984,3.36,0.5,9.4,6.97
9.8,0.44,0.4,2.8,0.036,9.55270404324853,35,167,0.9956,2.97,0.39,9.2,4.9
7.2,0.2,0.25,4.5,0.044,9.61816041452925,31,109,0.9949,3.23,0.36,9.4,4.99
8.2,0.61,0.45,5.4,0.03,10.981404513082,15,118,0.9954,3.14,0.34,9.6,5.22
7.5,0.42,0.45,9.1,0.029,9.32165102540575,20,125,0.996,3.12,0.36,10.1,6
7.4,0.22,0.33,2,0.045,8.53245614948647,31,101,0.9931,3.42,0.55,11.4,4.97
6.4,0.26,0.3,2.2,0.025,10.5838207858087,33,134,0.992,3.21,0.47,10.6,5.94
6.5,0.41,0.64,11.8,0.065,9.44319486058144,65,225,0.9978,3.12,0.51,8.9,5.21
7.5,0.32,0.37,1.2,0.048,9.85952740733915,22,184,0.9938,3.09,0.43,9.3,5.04
6.6,0.21,0.38,2.2,0.026,9.6466041002538,40,104,0.9914,3.25,0.4,11.1,7.97
7.1,0.21,0.3,1.4,0.037,9.06191943447261,45,143,0.9932,3.13,0.33,9.9,6.21
7.6,0.26,0.47,1.6,0.068,10.5842483565084,5,55,0.9944,3.1,0.45,9.6,4.92
6.9,0.25,0.26,5.2,0.024,9.05970080847734,36,135,0.9948,3.16,0.72,10.7,6.96
6.2,0.37,0.22,8.3,0.025,11.0460971866458,36,216,0.9964,3.33,0.6,9.6,5.82
6.9,0.25,0.26,5.2,0.024,10.9820889886762,36,135,0.9948,3.16,0.72,10.7,7
7.1,0.26,0.32,14.45,0.074,8.10174318644219,29,107,0.998,2.96,0.42,9.2,5.84
7.4,0.25,0.37,6.9,0.02,10.4534753469297,14,93,0.9939,3,0.48,10.7,6.94
6.8,0.18,0.37,1.5,0.027,9.65730795890927,37,93,0.992,3.3,0.45,10.8,5.84
7,0.17,0.37,1.5,0.028,10.5237904069774,26,75,0.9922,3.3,0.46,10.8,7.19
6.4,0.3,0.38,7.8,0.046,10.063507486982,35,192,0.9955,3.1,0.37,9,4.81
5,0.33,0.16,1.5,0.049,9.52394515944938,10,97,0.9917,3.48,0.44,10.7,5.79
5,0.33,0.16,1.5,0.049,9.49488562555947,10,97,0.9917,3.48,0.44,10.7,6.07
8.9,0.33,0.32,1.5,0.047,9.99486904344026,11,200,0.9954,3.19,0.46,9.4,5.09
7,0.26,0.46,15.55,0.037,9.08158374855073,61,171,0.9986,2.94,0.35,8.8,5.98
6.4,0.3,0.38,7.8,0.046,10.743085182268,35,192,0.9955,3.1,0.37,9,4.98
6.3,0.21,0.4,1.7,0.031,8.50877668048904,48,134,0.9917,3.42,0.49,11.5,6.07
8,0.23,0.46,1.5,0.03,9.80325965609099,30,125,0.9907,3.23,0.47,12.5,6.14
9.2,0.28,0.41,1,0.042,10.09401667622,14,59,0.9922,2.96,0.25,10.5,5.84
7.3,0.27,0.39,6.7,0.064,8.64805302758564,28,188,0.9958,3.29,0.3,9.7,5.13
7.6,0.32,0.36,1.6,0.04,9.90155486184039,32,155,0.993,3.23,0.52,11.3,6.02
5,0.33,0.16,1.5,0.049,10.8607284296984,10,97,0.9917,3.48,0.44,10.7,5.97
8,0.28,0.42,7.1,0.045,8.99226367978543,41,169,0.9959,3.17,0.43,10.6,5.09
8.2,0.37,0.36,1,0.034,10.0981328354486,17,93,0.9906,3.04,0.32,11.7,8.13
8,0.61,0.38,12.1,0.301,8.43462741500949,24,220,0.9993,2.94,0.48,9.2,4.97
7.2,0.26,0.44,7.1,0.027,8.6652615545747,25,126,0.993,3.02,0.34,11.1,8.08
8.2,0.37,0.36,1,0.034,9.73633022149208,17,93,0.9906,3.04,0.32,11.7,8.03
5.9,0.4,0.32,6,0.034,12.8395691256346,50,127,0.992,3.51,0.58,12.5,7.18
7.6,0.28,0.39,1.2,0.038,10.2942855973239,21,115,0.994,3.16,0.67,10,6.02
8,0.28,0.42,7.1,0.045,10.1379464180022,41,169,0.9959,3.17,0.43,10.6,4.99
7.2,0.23,0.39,2.3,0.033,10.9935607278254,29,102,0.9908,3.26,0.54,12.3,7.05
6.8,0.32,0.37,3.4,0.023,9.66209987816658,19,87,0.9902,3.14,0.53,12.7,6.04
7.2,0.23,0.39,2.3,0.033,8.3066615053442,29,102,0.9908,3.26,0.54,12.3,6.93
6.9,0.18,0.38,6.5,0.039,9.83908543944799,20,110,0.9943,3.1,0.42,10.5,4.99
8.3,0.33,0.42,1.15,0.033,9.07387910461483,18,96,0.9911,3.2,0.32,12.4,2.99
7.3,0.29,0.3,13,0.043,10.0226549875565,46,238,0.9986,3.06,0.41,8.7,5.97
7.9,0.41,0.37,4.5,0.03,9.60747578324154,40,114,0.992,3.17,0.54,12.4,7.07
7.9,0.44,0.37,5.85,0.033,10.821466787021,27,93,0.992,3.16,0.54,12.6,7.04
7.7,0.39,0.3,5.2,0.037,10.5773635818582,29,131,0.9943,3.38,0.44,11,5.95
7.7,0.26,0.31,1.3,0.043,9.18133101359932,47,155,0.9937,3.42,0.5,10.1,5.89
7.8,0.32,0.31,1.7,0.036,10.3793034469208,46,195,0.993,3.03,0.48,10.5,5.08
6.8,0.32,0.37,3.4,0.023,9.29414553539593,19,87,0.9902,3.14,0.53,12.7,6.01
7.3,0.24,0.39,3.6,0.024,8.79642429999145,35,116,0.9928,3.17,0.51,10.9,5.05
7.1,0.44,0.37,2.7,0.041,9.89848376545425,35,128,0.9896,3.07,0.43,13.5,6.97
10.3,0.25,0.48,2.2,0.042,9.85399863826652,28,164,0.998,3.19,0.59,9.7,4.83
7.4,0.18,0.42,2.1,0.036,9.27104852524112,33,187,0.9938,3.4,0.41,10.6,7.24
8.1,0.43,0.42,6.6,0.033,10.2905483455731,36,141,0.9918,2.98,0.39,13.3,6.85
8,0.66,0.72,17.55,0.042,11.2420081814702,62,233,0.9999,2.92,0.68,9.4,3.96
8,0.2,0.4,5.2,0.055,8.84476858279393,41,167,0.9953,3.18,0.4,10.6,7.14
7.2,0.21,0.34,1.1,0.046,9.82414918261172,25,80,0.992,3.25,0.4,11.3,5.98
7.2,0.18,0.31,1.1,0.045,11.2881087521603,20,73,0.9925,3.32,0.4,10.8,6.97
8.4,0.57,0.44,10.7,0.051,9.26861345283479,46,195,0.9981,3.15,0.51,10.4,4.87
5.7,0.245,0.33,1.1,0.049,10.155418085809,28,150,0.9927,3.13,0.42,9.3,5.1
5.6,0.245,0.32,1.1,0.047,9.82256075066962,24,152,0.9927,3.12,0.42,9.3,6.23
7,0.16,0.73,1,0.138,10.3678935300912,58,150,0.9936,3.08,0.3,9.2,4.91
6.4,0.22,0.34,1.8,0.057,10.6035555221451,29,104,0.9959,3.81,0.57,10.3,5.95
7.3,0.18,0.65,1.4,0.046,8.70681049039857,28,157,0.9946,3.33,0.62,9.4,6.06
6.9,0.29,0.16,6.8,0.034,9.04382568447634,65,212,0.9955,3.08,0.39,9,6.03
6.2,0.21,0.38,6.8,0.036,9.89002285747845,64,245,0.9951,3.06,0.36,9.3,5.87
6.4,0.23,0.3,7.1,0.037,8.59939892070078,63,236,0.9952,3.06,0.34,9.2,5.96
7.3,0.19,0.68,1.5,0.05,13.2598063927137,31,156,0.9946,3.32,0.64,9.4,5.91
7.3,0.18,0.65,1.4,0.046,10.2925958126037,28,157,0.9946,3.33,0.62,9.4,5.91
9.6,0.29,0.46,1.45,0.039,10.6472396095478,77.5,223,0.9944,2.92,0.46,9.5,5.93
7.2,0.14,0.35,1.2,0.036,9.92787903489228,15,73,0.9938,3.46,0.39,9.9,4.96
6.9,0.31,0.34,7.4,0.059,10.2371673132044,36,174,0.9963,3.46,0.62,11.1,7
7.5,0.28,0.34,4.2,0.028,11.8105693782261,36,116,0.991,2.99,0.41,12.3,8.06
8,0.22,0.42,14.6,0.044,9.65327682848584,45,163,1.0003,3.21,0.69,8.6,6.95
7.6,0.31,0.29,10.5,0.04,9.43793101182789,21,145,0.9966,3.04,0.35,9.4,4.91
8.4,0.35,0.56,13.8,0.048,8.65640784437513,55,190,0.9993,3.07,0.58,9.4,6.16
8,0.22,0.42,14.6,0.044,8.93395185649797,45,163,1.0003,3.21,0.69,8.6,7.1
8.1,0.5,0.47,1.1,0.037,9.30564671123595,23,126,0.9938,3.21,0.42,10.9,5.07
7,0.39,0.31,5.3,0.169,9.75214925163591,32,162,0.9965,3.2,0.48,9.4,5.17
8.1,0.5,0.47,1.1,0.037,9.82176799126093,23,126,0.9938,3.21,0.42,10.9,4.9
8.4,0.35,0.56,13.8,0.048,10.0311841122306,55,190,0.9993,3.07,0.58,9.4,6.2
6.2,0.22,0.27,1.5,0.064,10.5013801163696,20,132,0.9938,3.22,0.46,9.2,6.12
7.6,0.31,0.29,10.5,0.04,10.2732211817725,21,145,0.9966,3.04,0.35,9.4,5.06
7,0.24,0.36,4.9,0.083,10.9365666246195,10,133,0.9942,3.33,0.37,10.8,6.01
6.6,0.27,0.3,1.9,0.025,10.458743064112,14,153,0.9928,3.29,0.62,10.5,5.99
